iterations,log_loss,log_fake_loss
175,-1.1130010857248558,2.4724896491643173
176,-1.2807033689415428,2.5737403799995517
177,-1.315348445190679,2.546232705445108
178,-1.1140053969420838,2.5928757786391623
179,-1.3164772984524273,2.5716527376768608
180,-1.2130743617592619,2.485309893237411
181,-1.331525582088715,2.5055985693029217
182,-1.2766510186110607,2.557364631040411
183,-1.4313524243772642,2.489818308840681
184,-1.2634491291703873,2.4979735831521763
185,-1.4500672477976912,2.688442928258263
186,-1.12729740662812,2.474769140449252
187,-1.4194033700664093,2.4909663370516864
188,-1.3063751985814962,2.5963416321410513
189,-1.283600461728001,2.4783026310488427
190,-1.3599571063457794,2.556990905266272
191,-1.2310408884082122,2.470098486420828
192,-1.2571081263032746,2.6167131867412827
193,-1.3664700145945063,2.4497567652792016
194,-1.3664834546559521,2.5656026310173203
195,-1.5000928031991887,2.4618786068145444
196,-1.405505123778973,2.481092954800817
197,-1.4135783397252102,2.36575478091147
198,-1.4315233451006768,2.4982714582648664
199,-1.3902786328619605,2.5422441131960003
200,-1.4899038619517606,2.4608623513604146
201,-1.1493157777027052,2.4176462439515207
202,-1.106192496856162,2.4787357341964262
203,-1.383535851650502,2.4598325125811984
204,-1.369947305739037,2.498010057621013
205,-1.3372210184838242,2.469143841269712
206,-1.4046725618898728,2.5424955549071373
207,-1.443475964941698,2.477147652444121
208,-1.4397053089157943,2.504051910897541
209,-1.3827738776780871,2.4740178947628566
210,-1.6182419239126866,2.5339814679296246
211,-1.6572239185742816,2.538050790345904
212,-1.5552005155611608,2.4729001819959158
213,-1.4737821251872072,2.4909764480706746
214,-1.2784910383943746,2.534586695576207
215,-1.5263907563765307,2.4692502449981735
216,-1.3859242847625388,2.4832015372160496
217,-1.3775977030587603,2.5200794780269864
218,-1.4972006364579915,2.4817316012239177
219,-1.513772543905992,2.4964500373359377
220,-1.3886453070144416,2.4656712787163575
221,-1.3593010643169898,2.5483835107763664
222,-1.501086242154048,2.457939484235897
223,-1.3922338054177286,2.538064128907652
224,-1.4447917742576875,2.4710386027150717
225,-1.5377522945928024,2.513930421087495
226,-1.6363267323028736,2.5467741649989195
227,-1.5525559964040931,2.4278875468417676
228,-1.4826199087595147,2.439262994625285
229,-1.4431235450549686,2.5517913015476954
230,-1.3307496602195674,2.497254960967412
231,-1.5405844659304897,2.517258193996248
232,-1.6899946410893005,2.5143043051225025
233,-1.5707351281019073,2.5044092422906608
234,-1.5241887811756383,2.4723171155496098
235,-1.4315673739224746,2.548187929918499
236,-1.4196358558771491,2.405576500131559
237,-1.3988584640931145,2.4037890040989534
238,-1.5398343196028814,2.638245082390544
239,-1.6059724601375482,2.4743933472139736
240,-1.4481475109939685,2.5931895506993543
241,-1.5962284763648633,2.521703219160502
242,-1.2974514321889676,2.494350104920962
243,-1.351376181070193,2.474199774657556
244,-1.3776117662280352,2.487738149467817
245,-1.3526330291185178,2.5126955491908434
246,-1.4524973475628433,2.47886255032185
247,-1.5703813914611648,2.400740194143078
248,-1.6020715125456444,2.536906704789529
249,-1.6533341027489192,2.4170807351032755
250,-1.5332920502864,2.556522275389864
251,-1.484851117860262,2.552876839785753
252,-1.4931450695358204,2.4015822216643206
253,-1.525894239678026,2.564104852478419
254,-1.5932734144482767,2.5101916985229433
255,-1.5529798102421153,2.498128335563335
256,-1.5754126018555188,2.586468149231256
257,-1.4996743268097033,2.5411170639271434
258,-1.6264129925597857,2.4539639633203847
259,-1.5935369293975294,2.4763157124067097
260,-1.6775490729607108,2.490711553025985
261,-1.5035822420404357,2.465632390113727
262,-1.709329412266776,2.487100632669989
263,-1.4794186009440757,2.5643115127619884
264,-1.5518027974277482,2.572949773940817
265,-1.7357227681680876,2.441273368268447
266,-1.7652779574037687,2.540497208778142
267,-1.625884784559018,2.4336753925000605
268,-1.5105496051308083,2.5421533805659737
269,-1.403757167641651,2.5235200150647263
270,-1.692110265178458,2.3392619114507602
271,-1.7213596547146095,2.538183715860338
272,-1.363547181393618,2.4819762491336315
273,-1.5858261175931583,2.4474071780913498
274,-1.7617539911764604,2.3986537630371068
275,-1.6159560004703848,2.4979005517762256
276,-1.5017882649507683,2.4600544687936687
277,-1.4704505291049859,2.4711832381488215
278,-1.7463657362291443,2.499710173373931
279,-1.6817329480701106,2.619449746479016
280,-1.767310590831902,2.52292679493521
281,-1.6704073264608226,2.5243870312468077
282,-1.7969618605803446,2.5658585292587404
283,-1.5944757798732572,2.4383669473966503
284,-1.7649910145050034,2.446547966306854
285,-1.6214208740168798,2.4912722291253497
286,-1.6061278733958595,2.488720819046292
287,-1.6592967962429666,2.5362629443005287
288,-1.5930455160890786,2.5617463432222274
289,-1.826885194283638,2.584368301060851
290,-1.8460760974973036,2.518948892966077
291,-1.7112530715794179,2.4884809042172806
292,-1.7642515758999229,2.5634690401079405
293,-1.638366515198402,2.442175442199187
294,-1.527612154331091,2.5192461917237554
295,-1.7400806294727174,2.5640369352462233
296,-1.549987391703276,2.510628716077652
297,-1.8281017221426161,2.5530853136398552
298,-1.6937987782787298,2.4901606026067924
299,-1.6923601185113197,2.490014811963479
300,-1.7656405843315202,2.4668990565719002
